#   ChipID,                                                        Image,                 Name,  roi[tl_x  tl_y  w  h],  theta
1,    S1__Station3__Camera2__CAM43223__2016-03-06__00-28-56.JPG,      Male_1_26_Right,      [ 84 338 402 188],0.0
2,    S1__Station3__Camera2__CAM41063__2017-02-03__00-55-13.JPG,      Male_1_26_Right,  [ 208  699 1087  428],0.0
3,    S1__Station5__Camera1__CAM44195__2017-01-26__16-59-41.JPG,      Male_1_26_Right,  [  29  196 1549  901],0.0
4,    S1__Station5__Camera1__CAM44195__2017-02-15__04-47-02.JPG,      Male_1_26_Right,  [  50  339 1316  757],0.0
5,    S1__Station5__Camera1__CAM44195__2017-03-07__19-22-08.JPG,      Male_1_26_Right,  [ 179  279 1209  658],0.0
6,    S1__Station5__Camera2__CAM41302__2017-03-12__23-59-48.JPG,      Male_1_26_Right,  [ 207  306 1115  460],0.0
7,    S1__Station6__Camera1__CAM40268__2017-01-31__16-03-55.JPG,      Male_1_26_Right,      [884 589 717 336],0.0
8,    S1__Station6__Camera1__CAM40268__2017-02-01__07-12-29.JPG,      Male_1_26_Right,      [256 620 915 395],0.0
9,    S1__Station6__Camera1__CAM40268__2017-02-01__07-12-38.JPG,      Male_1_26_Right,  [1001  602  964  373],0.0
10,    S1__Station6__Camera2__CAM40069__2017-01-26__20-15-34.JPG,      Male_1_26_Right,  [  16  571 1451  835],0.0
11,    S1__Station6__Camera2__CAM40069__2017-01-28__22-25-41.JPG,      Male_1_26_Right,  [  48  332 1454 1106],0.0
12,    S1__Station6__Camera2__CAM40069__2017-02-15__17-32-50.JPG,      Male_1_26_Right,  [  53  608 1358  787],0.0
13,    S1__Station6__Camera2__CAM40069__2017-03-07__21-07-34.JPG,      Male_1_26_Right,  [  52  644 1441  812],0.0
14,    S1__Station6__Camera2__CAM40069__2017-03-09__17-42-53.JPG,      Male_1_26_Right,  [  51  650 1459  778],0.0
15,    S1__Station7__Camera2__CAM41077__2017-03-16__17-12-31.JPG,      Male_1_26_Right,      [317 539 767 312],0.0
16,   S1__Station14__Camera1__CAM40355__2015-02-08__19-01-15.JPG,       Male_1_1_Right,      [ 19 101 528 265],0.0
17,   S1__Station13__Camera1__CAM40055__2016-02-27__20-08-43.JPG,       Male_1_1_Right,      [ 39 147 536 245],0.0
18,   S1__Station10__Camera2__CAM44277__2017-03-04__03-15-25.JPG,       Male_1_1_Right,  [  56  412 1237  681],0.0
19,   S1__Station13__Camera1__CAM44283__2017-02-23__14-30-58.JPG,       Male_1_1_Right,      [192 656 924 406],0.0
20,   S1__Station13__Camera1__CAM44283__2017-02-23__14-31-07.JPG,       Male_1_1_Right,  [1542  647  504  367],0.0
21,   S1__Station13__Camera2__CAM41036__2017-02-27__03-32-36.JPG,       Male_1_1_Right,      [270 524 999 408],0.0
22,   S1__Station13__Camera2__CAM41036__2017-03-08__23-55-12.JPG,       Male_1_1_Right,  [ 210  362 1112  563],0.0
23,   S1__Station14__Camera1__CAM43324__2017-01-31__23-19-58.JPG,       Male_1_1_Right,  [  52  382 1217  560],0.0
24,   S1__Station15__Camera1__CAM44186__2017-02-28__03-51-55.JPG,       Male_1_1_Right,  [  70  674 1288  643],0.0
25,   S1__Station17__Camera1__CAM43223__2017-03-10__06-30-16.JPG,       Male_1_1_Right,      [503 757 443 240],0.0
26,   S1__Station24__Camera1__CAM40771__2017-01-26__19-04-13.JPG,       Male_1_1_Right,      [624 641 485 277],0.0
27,    S1__Station5__Camera2__CAM41302__2017-03-08__02-58-41.JPG,       Male_1_1_Right,  [  46  223 1153  556],0.0
28,    S1__Station6__Camera2__CAM40069__2017-02-05__04-03-36.JPG,       Male_1_1_Right,  [ 259  695 1033  495],0.0
29,    S1__Station6__Camera2__CAM40069__2017-03-15__01-31-38.JPG,       Male_1_1_Right,  [  45  592 1358  742],0.0
30,   S2__Station34__Camera1__CAM51653__2015-05-27__22-30-07.JPG,      Male_2_63_Right,      [ 23 263 433 203],0.0
31,   S2__Station32__Camera1__CAM40275__2016-05-12__23-35-26.JPG,      Male_2_63_Right,      [ 17 326 454 254],0.0
32,   S2__Station28__Camera1__CAM41620__2017-05-16__18-02-39.JPG,      Male_2_63_Right,  [ 300  604 1109  848],0.0
33,   S2__Station28__Camera2__CAM40135__2017-04-05__03-16-04.JPG,      Male_2_63_Right,      [434 424 713 455],0.0
34,   S2__Station28__Camera2__CAM40135__2017-04-14__01-51-18.JPG,      Male_2_63_Right,      [323 484 945 378],0.0
35,   S2__Station29__Camera2__CAM43328__2017-05-09__21-00-34.JPG,      Male_2_63_Right,  [ 278  384 1021  487],0.0
